DATE,CMCI
1997-01-31 00:00:00,1.005666501
1997-04-30 00:00:00,1.449188329
1997-07-31 00:00:00,1.226298778
1997-10-31 00:00:00,1.376048329
1998-01-31 00:00:00,1.600317685
1998-04-30 00:00:00,1.757241197
1998-07-31 00:00:00,1.836110015
1998-10-31 00:00:00,1.657105515
1999-01-31 00:00:00,1.261931995
1999-04-30 00:00:00,0.898151227
1999-07-31 00:00:00,0.721013299
1999-10-31 00:00:00,0.774219759
2000-01-31 00:00:00,0.839848761
2000-04-30 00:00:00,0.898517554
2000-07-31 00:00:00,0.9261857
2000-10-31 00:00:00,0.814547782
2001-01-31 00:00:00,0.431788291
2001-04-30 00:00:00,0.577078523
2001-07-31 00:00:00,0.184798321
2001-10-31 00:00:00,0.167611621
2002-01-31 00:00:00,0.180593524
2002-04-30 00:00:00,0.217449107
2002-07-31 00:00:00,-0.194833928
2002-10-31 00:00:00,-0.074568969
2003-01-31 00:00:00,-0.275059435
2003-04-30 00:00:00,-0.25553291
2003-07-31 00:00:00,-0.296012993
2003-10-31 00:00:00,-0.225283813
2004-01-31 00:00:00,-0.187297851
2004-04-30 00:00:00,-0.039990648
2004-07-31 00:00:00,0.39123689
2004-10-31 00:00:00,0.784553478
2005-01-31 00:00:00,0.624425077
2005-04-30 00:00:00,0.366252159
2005-07-31 00:00:00,0.327392669
2005-10-31 00:00:00,0.418802624
2006-01-31 00:00:00,0.603931712
2006-04-30 00:00:00,0.712763385
2006-07-31 00:00:00,0.72727624
2006-10-31 00:00:00,0.530457298
2007-01-31 00:00:00,0.136670713
2007-04-30 00:00:00,-0.114599492
2007-07-31 00:00:00,-0.218230042
2007-10-31 00:00:00,-0.058352573
2008-01-31 00:00:00,-0.074170276
2008-04-30 00:00:00,0.086678689
2008-07-31 00:00:00,0.14499109
2008-10-31 00:00:00,-0.284575832
2009-01-31 00:00:00,-0.940812858
2009-04-30 00:00:00,-1.048818568
2009-07-31 00:00:00,-1.606190675
2009-10-31 00:00:00,-1.719344982
2010-01-31 00:00:00,-0.946488851
2010-04-30 00:00:00,-0.819705133
2010-07-31 00:00:00,-0.532075927
2010-10-31 00:00:00,-0.216515787
2011-01-31 00:00:00,-0.180758159
2011-04-30 00:00:00,-0.487979303
2011-07-31 00:00:00,-0.051071098
2011-10-31 00:00:00,-0.074989413
2012-01-31 00:00:00,-0.277033378
2012-04-30 00:00:00,-0.309090365
2012-07-31 00:00:00,-0.433387713
2012-10-31 00:00:00,-0.278854269
2013-01-31 00:00:00,-0.669870275
2013-04-30 00:00:00,-0.425060803
2013-07-31 00:00:00,-0.66773069
2013-10-31 00:00:00,-0.025564384
2014-01-31 00:00:00,0.27116977
2014-04-30 00:00:00,0.451544062
2014-07-31 00:00:00,0.713425195
2014-10-31 00:00:00,0.823817754
2015-01-31 00:00:00,-0.007638242
2015-04-30 00:00:00,0.525341394
2015-07-31 00:00:00,0.045131099
2015-10-31 00:00:00,0.088338308
2016-01-31 00:00:00,-0.219196502
2016-04-30 00:00:00,-0.118246475
2016-07-31 00:00:00,-0.19822327
2016-10-31 00:00:00,-0.217516939
2017-01-31 00:00:00,-0.116098489
2017-04-30 00:00:00,-0.11299958
2017-07-31 00:00:00,0.015228658
2017-10-31 00:00:00,0.125677701
2018-01-31 00:00:00,-0.138300815
2018-04-30 00:00:00,-0.238767247
2018-07-31 00:00:00,-0.209254026
2018-10-31 00:00:00,-0.16350922
2019-01-31 00:00:00,-0.161048974
2019-04-30 00:00:00,-0.205137246
2019-07-31 00:00:00,-0.274796726
2019-10-31 00:00:00,-0.403521585
2020-01-31 00:00:00,-0.502779344
2020-04-30 00:00:00,-0.573256869
2020-07-31 00:00:00,-0.692515815
2020-10-31 00:00:00,-0.956283071
2021-01-31 00:00:00,-2.217926989
2021-04-30 00:00:00,-6.189231153
2021-07-31 00:00:00,-2.786601419
2021-10-31 00:00:00,-2.15635031
2022-01-31 00:00:00,-0.060062671
2022-04-30 00:00:00,1.206039184
2022-07-31 00:00:00,1.032630353
2022-10-31 00:00:00,0.973627058